readout	order	layer	ChipID	payload	location	isCol	timestamp	tot_msb	tot_lsb	tot_total	tot_us	fpga_ts
0	648	1	0	4	19	True	235	10	151	2711	27.11	0
0	649	1	0	4	20	True	235	9	237	2541	25.41	0
0	650	1	0	4	5	False	69	12	123	3195	31.95	0
0	651	1	0	4	18	True	69	12	106	3178	31.78	0
0	652	1	0	4	24	False	23	4	72	1096	10.96	0
0	653	1	0	4	7	True	23	4	55	1079	10.79	0
0	654	1	0	4	13	False	131	0	19	19	0.19	0
0	655	1	0	4	4	True	131	0	1	1	0.01	0
0	656	1	0	4	2	False	110	10	171	2731	27.31	0
0	657	1	0	4	8	True	110	10	152	2712	27.12	0
0	658	1	0	4	26	False	249	6	101	1637	16.37	0
0	659	1	0	4	3	True	249	6	83	1619	16.19	0
0	660	1	0	4	0	False	4	10	218	2778	27.78	0
0	661	1	0	7	22	True	67	1	108	364	3.64	66564
0	662	1	31	6	14	False	229	6	67	1603	16.03	21505
0	663	1	0	4	21	False	232	13	224	3552	35.52	0
0	664	1	0	4	7	True	232	13	205	3533	35.33	0
0	665	1	0	4	16	True	122	10	76	2636	26.36	0
0	666	1	0	4	17	True	124	0	89	89	0.89	0
0	667	1	0	4	15	False	122	2	99	611	6.11	0
0	668	1	0	4	18	True	122	2	78	590	5.9	0
0	669	1	0	4	11	False	230	2	206	718	7.18	0
0	670	1	0	4	33	True	230	2	190	702	7.02	0
0	671	1	0	4	15	False	141	4	59	1083	10.83	0
0	672	1	0	4	6	True	141	4	37	1061	10.61	0
0	673	1	0	4	8	False	125	13	48	3376	33.76	0
0	674	1	0	4	19	True	125	13	30	3358	33.58	0
0	675	1	0	4	5	False	179	10	219	2779	27.79	0
0	676	1	0	4	3	True	179	10	199	2759	27.59	0
0	677	1	0	4	4	False	11	7	13	1805	18.05	0
0	678	1	20	6	5	False	97	4	136	1160	11.6	37892
0	679	1	0	4	3	False	238	6	98	1634	16.34	0
0	680	1	12	1	4	False	0	0	0	0	0.0	0
0	681	1	0	4	4	False	250	12	33	3105	31.05	0
0	682	1	14	4	61	False	61	13	61	3389	33.89	0
0	683	1	0	4	15	False	87	15	30	3870	38.7	0
0	684	1	0	4	17	True	87	15	10	3850	38.5	0
0	685	1	0	4	14	False	23	12	92	3164	31.64	0
0	686	1	0	4	6	True	23	12	72	3144	31.44	0
0	687	1	0	4	32	True	175	1	126	382	3.82	0
0	688	1	0	4	11	False	175	10	193	2753	27.53	0
0	689	1	0	4	31	True	175	10	171	2731	27.31	0
0	690	1	0	4	23	False	0	1	137	393	3.93	0
0	691	1	0	4	7	True	0	1	117	373	3.73	0
0	692	1	0	4	2	False	210	11	4	2820	28.2	0
0	693	1	1	6	54	True	10	13	84	3412	34.12	33796
0	694	1	26	2	11	False	4	0	0	0	0.0	0
0	695	1	30	1	11	False	0	0	0	0	0.0	0
0	696	1	25	5	61	False	61	13	61	3389	33.89	61
0	697	1	0	4	27	False	145	1	137	393	3.93	0
0	698	1	0	4	13	True	144	1	117	373	3.73	0
0	699	1	0	4	29	False	253	15	81	3921	39.21	0
0	700	1	0	4	27	False	252	0	252	252	2.52	0
0	701	1	0	4	7	True	252	0	234	234	2.34	0
0	702	1	0	4	8	True	253	15	62	3902	39.02	0
0	703	1	0	4	21	False	152	8	148	2196	21.96	0
0	704	1	0	4	20	False	150	1	191	447	4.47	0
0	705	1	0	4	22	False	149	1	235	491	4.91	0
0	706	1	0	4	18	True	149	1	217	473	4.73	0
0	707	1	0	4	20	True	150	1	174	430	4.3	0
0	708	1	0	4	19	False	203	5	234	1514	15.14	0
0	709	1	0	4	5	True	203	5	217	1497	14.97	0
0	710	1	0	4	5	False	162	15	243	4083	40.83	0
0	711	1	0	4	13	True	162	15	225	4065	40.65	0
0	712	1	0	4	0	False	4	6	54	1590	15.9	0
0	713	1	0	3	12	True	53	0	0	0	0.0	0
0	714	1	27	4	4	False	134	5	4	1284	12.84	0
0	715	1	0	2	54	False	8	0	0	0	0.0	0
0	716	1	2	7	0	False	4	14	56	3640	36.4	12928777
0	717	1	0	4	7	False	84	14	94	3678	36.78	0
0	718	1	0	4	8	False	83	6	1	1537	15.37	0
0	719	1	0	4	10	True	83	5	237	1517	15.17	0
0	720	1	0	4	28	False	43	1	18	274	2.74	0
0	721	1	0	4	4	True	43	0	255	255	2.55	0
0	722	1	0	4	11	False	227	8	107	2155	21.55	0
0	723	1	0	4	7	True	227	8	87	2135	21.35	0
0	724	1	0	4	13	False	110	12	18	3090	30.9	0
0	725	1	0	4	11	True	110	11	254	3070	30.7	0
0	726	1	0	4	26	False	237	10	192	2752	27.52	0
0	727	1	0	4	8	True	237	10	175	2735	27.35	0
0	728	1	0	4	5	True	165	0	236	236	2.36	0
0	729	1	0	4	1	False	165	2	40	552	5.52	0
0	730	1	0	4	4	True	165	2	20	532	5.32	0
0	731	1	0	4	16	False	40	7	131	1923	19.23	0
0	732	1	0	4	4	True	40	7	113	1905	19.05	0
0	733	1	0	4	8	False	213	7	110	1902	19.02	0
0	734	1	0	4	3	True	213	7	90	1882	18.82	0
0	735	1	0	4	11	False	53	2	219	731	7.31	0
0	736	1	0	4	6	True	53	2	199	711	7.11	0
0	737	1	0	4	14	False	191	9	217	2521	25.21	0
0	738	1	0	4	31	True	191	9	199	2503	25.03	0
0	739	1	0	4	3	False	45	13	215	3543	35.43	0
0	740	1	0	4	6	False	48	13	95	3423	34.23	0
0	741	1	0	4	19	True	45	13	193	3521	35.21	0
0	742	1	0	4	20	True	48	13	78	3406	34.06	0
0	743	1	0	4	14	False	82	14	253	3837	38.37	0
0	744	1	0	4	22	True	82	14	233	3817	38.17	0
0	745	1	0	4	15	False	81	8	58	2106	21.06	0
0	746	1	0	4	6	True	81	8	37	2085	20.85	0
0	747	1	0	4	1	False	165	3	47	815	8.15	0
0	748	1	0	4	3	False	165	3	85	853	8.53	0
0	749	1	0	4	0	False	166	9	101	2405	24.05	0
0	750	1	0	4	8	True	165	9	106	2410	24.1	0
0	751	1	0	4	17	False	20	15	254	4094	40.94	0
0	752	1	0	4	5	True	20	15	238	4078	40.78	0
0	753	-1	-1	-1	-1	True	-1	-1	-1	-1	-1.0	-1
0	754	-1	-1	-1	-1	True	-1	-1	-1	-1	-1.0	-1
0	755	-1	-1	-1	-1	True	-1	-1	-1	-1	-1.0	-1
0	756	1	0	4	22	True	55	15	48	3888	38.88	0
0	757	1	0	4	24	True	55	12	212	3284	32.84	0
0	758	1	0	4	25	True	55	0	22	22	0.22	0
0	759	1	0	4	26	True	55	1	199	455	4.55	0
0	760	1	0	4	27	True	55	3	134	902	9.02	0
0	761	1	0	4	28	True	55	9	214	2518	25.18	0
0	762	1	0	4	29	True	55	15	99	3939	39.39	0
0	763	1	0	4	30	True	55	10	170	2730	27.3	0
0	764	1	0	4	31	True	55	14	247	3831	38.31	0
