readout	layer	chipID	col	row	timestamp_col	timestamp_row	tot_us_col	tot_us_row	avg_tot_us
1	1	2	31	6	31	31	6.81	7.01	6.91
1	1	3	9	23	214	214	9.15	9.35	9.25
1	1	3	3	14	115	115	7.37	7.6	7.484999999999999
1	1	0	9	29	30	30	2.91	3.07	2.99
1	1	2	21	6	176	176	3.9	4.09	3.995
1	1	2	24	4	148	148	12.65	12.84	12.745000000000001
1	1	3	29	31	10	10	5.82	6.06	5.9399999999999995
1	1	2	25	22	199	199	11.18	11.37	11.274999999999999
1	1	2	27	3	81	82	6.82	7.04	6.93
1	1	2	15	33	230	230	5.62	5.82	5.720000000000001
1	1	2	9	5	135	135	8.4	8.59	8.495000000000001
1	1	2	10	17	136	135	7.5	7.91	7.705
1	1	2	12	28	239	239	9.58	9.75	9.665
1	1	2	25	26	73	73	6.74	6.94	6.84
1	1	2	23	19	237	237	5.73	5.93	5.83
1	1	2	11	4	25	25	5.82	6.01	5.915
1	1	3	6	12	235	235	6.59	6.8	6.695
1	1	1	14	25	87	87	13.44	13.61	13.524999999999999
1	1	2	22	1	146	146	2.76	2.98	2.87
1	1	2	11	21	121	121	8.54	8.71	8.625
1	1	2	14	27	204	204	3.58	3.78	3.6799999999999997
1	1	3	14	29	140	140	9.12	9.33	9.225
1	1	2	13	16	115	116	7.02	7.14	7.08
1	1	0	14	30	135	135	8.59	8.77	8.68
1	1	0	32	30	102	102	6.41	6.58	6.495
1	1	2	31	15	2	2	11.16	11.37	11.265
1	1	2	22	6	107	107	11.7	11.89	11.795
1	1	0	3	10	3	3	9.02	9.21	9.115
1	1	2	27	21	39	39	7.41	7.6	7.505
1	1	2	15	3	67	68	8.12	8.34	8.23
1	1	2	21	22	10	9	5.72	6.17	5.945
1	1	2	22	6	9	9	5.98	5.4	5.69
1	1	2	18	17	84	84	12.67	12.89	12.780000000000001
1	1	2	33	5	113	113	4.66	4.85	4.755
1	1	2	23	16	46	46	7.46	7.67	7.5649999999999995
1	1	2	33	5	177	177	9.39	9.57	9.48
1	1	2	18	23	170	170	4.04	4.23	4.135
1	1	2	16	23	59	60	3.91	4.11	4.01
1	1	2	26	4	212	212	11.38	11.56	11.47
1	1	2	10	23	129	129	3.94	4.13	4.035
1	1	2	27	17	78	78	6.74	6.96	6.85
1	1	2	21	23	38	38	11.1	11.29	11.195
