readout	col	row	timestamp_col	timestamp_row	tot_us_col	tot_us_row	avg_tot_us
125	29	34	249	249	7.49	7.575	7.532500000000001
126	31	28	187	187	3.21	3.305	3.2575000000000003
126	31	19	201	201	3.595	3.685	3.64
126	30	34	225	225	4.65	4.74	4.695
127	15	18	69	69	4.675	4.775	4.725
127	29	29	227	227	6.54	6.625	6.5825
127	10	29	170	170	6.245	6.345	6.295
127	34	14	54	54	7.205	7.32	7.2625
127	27	4	217	217	4.57	4.655	4.612500000000001
128	33	15	161	161	4.27	4.36	4.3149999999999995
128	19	25	167	167	2.425	2.515	2.4699999999999998
128	26	27	8	9	4.165	4.135	4.15
129	10	3	171	171	7.815	7.91	7.862500000000001
129	25	18	182	182	6.05	6.15	6.1
130	28	24	103	104	7.875	7.975	7.925
130	33	33	40	40	3.005	3.085	3.045
131	18	30	201	201	4.525	4.61	4.567500000000001
131	16	34	176	176	6.555	6.635	6.595
131	31	20	160	160	4.39	4.485	4.4375
132	25	29	27	27	2.405	2.505	2.455
132	18	29	103	103	4.385	4.48	4.4325
132	5	25	94	94	3.32	3.415	3.3674999999999997
133	34	9	142	142	4.165	4.255	4.21
133	28	25	101	101	5.87	5.96	5.915
133	30	23	103	103	6.015	6.095	6.055
133	30	26	243	243	10.615	10.705	10.66
133	17	28	76	76	7.66	7.745	7.702500000000001
133	4	32	152	152	3.195	3.275	3.235
134	16	1	52	52	3.22	3.315	3.2675
134	11	34	174	174	5.63	5.71	5.67
134	27	23	22	22	6.44	6.52	6.48
134	28	25	22	22	5.0	5.09	5.045
134	24	34	154	155	3.02	3.105	3.0625
134	22	34	188	188	1.71	1.795	1.7525
135	21	34	66	66	4.95	5.04	4.995
136	24	3	111	112	2.375	2.46	2.4175
136	31	32	118	118	5.175	5.27	5.2225
136	27	29	85	85	5.44	5.535	5.487500000000001
136	28	30	86	86	4.895	4.985	4.9399999999999995
137	29	10	142	142	1.835	1.925	1.88
137	19	12	215	215	7.13	7.215	7.172499999999999
137	18	29	142	142	2.45	2.545	2.4975
137	14	29	86	86	4.47	4.565	4.5175
138	22	19	147	147	6.135	6.225	6.18
138	31	24	133	133	6.355	6.455	6.405
138	4	22	229	230	5.87	5.95	5.91
139	24	11	232	232	1.425	1.515	1.47
140	29	25	243	243	8.13	8.215	8.1725
140	26	24	155	155	4.965	5.07	5.0175
140	32	34	77	77	5.31	5.395	5.352499999999999
141	26	16	75	75	5.445	5.53	5.487500000000001
141	28	20	137	137	5.665	5.76	5.7125
141	12	14	244	244	7.23	7.33	7.28
141	27	26	92	92	3.045	3.135	3.09
142	11	26	52	52	3.095	3.18	3.1375
142	26	33	116	116	4.695	4.785	4.74
143	27	27	107	107	4.56	4.64	4.6
143	17	18	69	69	6.18	6.275	6.2275
143	33	30	46	46	6.105	6.19	6.147500000000001
143	23	23	220	220	7.86	7.935	7.8975
143	11	33	222	222	5.685	5.77	5.727499999999999
143	26	12	226	226	4.285	4.375	4.33
144	28	34	77	77	9.735	9.82	9.7775
144	25	10	239	239	4.865	4.96	4.9125
145	31	15	179	179	4.245	4.34	4.2925
145	32	12	179	179	8.745	8.83	8.7875
145	19	13	192	192	4.635	4.72	4.6775
145	31	24	214	214	4.785	4.94	4.862500000000001
145	31	26	89	89	3.03	3.12	3.075
146	3	31	214	214	6.76	6.845	6.8025
146	34	34	238	238	2.835	2.92	2.8775
146	21	24	69	69	6.36	6.465	6.4125
146	31	34	17	17	3.925	4.015	3.9699999999999998
146	23	31	176	176	5.505	5.605	5.555
146	25	29	187	187	7.36	7.46	7.41
147	25	33	85	85	5.025	5.11	5.067500000000001
147	24	22	134	134	3.485	3.57	3.5275
147	30	33	144	144	5.49	5.58	5.535
147	15	34	236	236	2.55	2.635	2.5925
147	27	33	165	165	6.055	6.14	6.0975
147	17	27	245	245	5.275	5.355	5.315
148	13	10	207	207	2.605	2.7	2.6525
151	22	7	191	191	2.56	2.65	2.605
151	34	20	229	229	4.77	4.865	4.8175
151	18	27	180	180	6.405	6.495	6.45
151	10	34	67	67	4.245	4.335	4.29
151	21	28	91	91	5.17	5.265	5.217499999999999
152	21	15	176	176	6.59	6.69	6.640000000000001
152	22	20	247	247	4.9	5.005	4.952500000000001
152	28	27	101	101	6.85	6.945	6.8975
152	34	21	21	21	4.185	4.275	4.23
152	27	29	95	95	3.22	3.32	3.27
152	28	28	95	95	8.245	8.325	8.285
153	22	33	110	110	3.82	3.91	3.865
154	26	32	5	5	4.115	4.21	4.1625
155	27	28	121	121	5.39	5.475	5.432499999999999
155	19	28	128	128	3.77	3.855	3.8125
155	26	33	240	240	2.745	2.83	2.7875
155	27	19	103	103	4.905	4.985	4.945
155	8	11	45	45	3.215	3.31	3.2625
155	20	31	2	2	5.19	5.28	5.235
156	30	29	150	150	8.04	8.14	8.09
156	16	32	168	168	3.425	3.505	3.465
156	32	17	6	6	2.0	2.09	2.045
156	29	32	139	139	4.225	4.31	4.2675
156	26	31	197	197	5.875	5.965	5.92
157	14	27	248	248	5.4	5.485	5.442500000000001
157	25	30	51	51	2.275	2.36	2.3175
157	7	32	83	83	3.79	3.875	3.8325
157	29	29	44	44	3.135	3.22	3.1775
157	24	13	5	5	4.36	4.45	4.405
158	34	29	22	22	3.18	3.275	3.2275
158	15	15	150	150	4.905	4.985	4.945
159	17	34	80	80	5.925	6.005	5.965
159	32	24	226	226	2.15	2.245	2.1975
160	20	29	94	94	1.885	1.985	1.935
160	25	22	214	214	12.26	12.345	12.3025
160	20	32	106	106	9.64	9.73	9.685
160	10	6	85	85	6.31	6.385	6.3475
160	23	30	37	37	4.46	4.55	4.505
160	20	27	46	46	5.99	6.08	6.035
161	31	19	198	198	7.155	7.245	7.2
161	17	31	108	107	4.3	4.265	4.2825
161	18	32	107	108	4.175	4.39	4.2825
162	16	33	188	188	2.29	2.375	2.3325
162	18	27	23	23	5.9	5.99	5.945
162	5	18	11	11	6.695	6.79	6.7425
162	15	15	4	4	5.02	5.1	5.06
163	34	32	176	176	5.485	5.575	5.53
163	27	23	55	55	2.26	2.34	2.3
163	15	25	86	86	7.905	7.995	7.95
163	29	26	133	133	5.64	5.73	5.6850000000000005
163	16	27	160	160	4.27	4.355	4.3125
164	30	30	93	93	2.625	2.705	2.665
164	22	24	87	87	6.28	6.38	6.33
165	23	23	51	51	7.8	7.88	7.84
165	31	34	176	176	1.24	1.325	1.2825
166	25	32	180	180	7.155	7.3	7.2275
166	15	21	18	18	6.88	6.965	6.922499999999999
166	21	23	62	62	5.565	5.655	5.61
166	30	5	74	74	4.05	4.135	4.092499999999999
166	20	32	101	101	13.625	13.715	13.67
167	30	29	190	190	5.765	5.865	5.8149999999999995
167	29	34	7	7	3.085	3.17	3.1275
167	23	32	173	173	2.23	2.32	2.275
167	4	23	206	207	3.555	3.635	3.5949999999999998
167	24	30	139	139	4.03	4.115	4.0725
167	34	32	168	168	4.445	4.535	4.49
167	22	32	108	108	2.61	2.695	2.6525
167	29	31	66	66	8.95	9.04	8.995
167	25	30	117	117	4.82	4.905	4.862500000000001
168	26	25	162	162	6.12	6.22	6.17
168	33	21	67	67	4.82	4.91	4.865
169	25	26	166	166	5.23	5.315	5.272500000000001
169	22	31	193	193	4.37	4.46	4.415
169	33	26	122	123	8.725	8.815	8.77
169	34	32	16	16	2.11	2.205	2.1574999999999998
170	28	33	104	104	3.745	3.83	3.7875
170	33	34	137	137	5.47	5.555	5.512499999999999
170	16	31	167	167	5.555	5.64	5.5975
171	20	31	218	218	10.45	10.535	10.4925
171	22	24	237	237	7.295	7.39	7.342499999999999
171	14	23	43	43	7.035	7.115	7.075
171	32	26	90	90	2.41	2.505	2.4575
172	34	34	128	128	1.76	1.845	1.8025
172	33	34	81	81	2.27	2.365	2.3175
173	26	23	213	213	3.56	3.645	3.6025
173	27	34	84	84	3.44	3.525	3.4825
173	5	29	67	67	5.085	5.18	5.1325
174	29	13	92	92	5.415	5.5	5.4575
175	22	31	161	161	5.565	5.655	5.61
175	33	24	121	121	2.08	2.175	2.1275
176	18	19	89	89	3.095	3.19	3.1425
177	21	21	50	50	2.61	2.7	2.6550000000000002
177	24	26	206	206	4.76	4.85	4.805
177	25	34	6	6	3.67	3.76	3.715
177	26	19	74	74	3.95	4.04	3.995
177	18	24	28	28	5.22	5.335	5.2775
178	15	19	192	192	6.24	6.33	6.285
178	9	8	236	236	3.18	3.275	3.2275
178	33	26	254	254	6.075	6.16	6.1175
178	33	26	247	247	8.625	8.705	8.665
180	14	13	212	213	1.465	1.55	1.5075
180	3	24	251	251	3.85	3.945	3.8975
180	13	22	216	216	4.025	4.11	4.067500000000001
180	19	30	62	62	8.675	8.755	8.715
181	28	21	158	159	7.285	7.38	7.3325
181	25	26	211	211	8.79	8.88	8.835
181	17	4	147	147	5.365	5.455	5.41
182	28	28	222	222	5.765	5.845	5.805
182	29	29	221	221	5.43	5.52	5.475
182	29	24	129	130	7.53	7.63	7.58
182	33	32	111	111	2.825	2.915	2.87
182	34	34	252	252	4.44	4.52	4.48
182	6	16	81	81	6.405	6.49	6.4475
183	23	12	96	96	4.155	4.245	4.2
184	33	18	188	188	8.005	7.775	7.890000000000001
184	22	13	120	120	3.68	3.765	3.7225
184	16	33	96	96	7.74	7.825	7.782500000000001
184	28	24	18	18	7.845	7.94	7.8925
184	24	33	207	207	2.635	2.725	2.6799999999999997
184	16	16	38	38	4.26	4.34	4.3
185	26	31	26	26	2.535	2.635	2.585
185	34	26	80	80	4.96	5.05	5.005
185	15	17	204	204	4.5	4.595	4.547499999999999
186	27	21	154	154	6.265	6.35	6.307499999999999
186	27	31	58	58	4.44	4.53	4.485
186	13	31	173	173	3.63	3.71	3.67
186	23	25	223	223	5.715	5.81	5.762499999999999
188	29	20	44	44	5.125	5.22	5.172499999999999
188	11	12	250	250	7.155	7.24	7.1975
188	25	34	15	15	4.14	4.23	4.1850000000000005
188	33	20	244	244	5.29	5.385	5.3375
188	22	30	30	31	3.25	3.34	3.295
189	28	23	198	198	4.615	4.695	4.655
189	34	19	203	203	6.855	6.94	6.897500000000001
190	21	19	176	176	5.66	5.755	5.7075
